actorID	actor_type	objectID	object	action	timestamp
/windows/system32/searchindexer.exe_2476	PRINCIPAL_LOCAL	"c:""/windows/system32/searchindexer.exe"	PRINCIPAL_LOCAL	executed	30201234
/windows/system32/searchindexer.exe_2476	PRINCIPAL_LOCAL	"c:""/programdata/microsoft/search/data/applications/windows"	PRINCIPAL_LOCAL	read	30201259
/windows/system32/searchindexer.exe_2476	PRINCIPAL_LOCAL	"c:""/programdata/microsoft/search/data/temp/usgthrsvc"	PRINCIPAL_LOCAL	read	30201260
/windows/system32/searchindexer.exe_2476	PRINCIPAL_LOCAL	"c:""/windows/system32/powrprof.dll"	PRINCIPAL_LOCAL	execute	30201260
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/windows/system32/mmc.exe"	PRINCIPAL_LOCAL	executed	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users/aalsahee/appdata/local/temp"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""//"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users/desktop.ini"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/windows/system32/eventvwr.msc"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users/aalsahee"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users/aalsahee/appdata"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users/aalsahee/appdata/roaming"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/users/aalsahee/appdata/roaming/microsoft/windows/start menu/desktop.ini"	PRINCIPAL_LOCAL	read	30201234
/windows/system32/mmc.exe_2876	PRINCIPAL_LOCAL	"c:""/windows/system32/stdole2.tlb"	PRINCIPAL_LOCAL	read	30201234
/programdata/microsoft/event viewer/windows logs/channel_0.xml	PRINCIPAL_LOCAL	"c:""/windows/system32/mmc.exe_2876"	PRINCIPAL_LOCAL	write	30201234
/users/aalsahee/appdata/local/microsoft/event viewer/settings.xml	PRINCIPAL_LOCAL	"c:""/windows/system32/mmc.exe_2876"	PRINCIPAL_LOCAL	write	30201234
/windows/system32/svchost.exe_828	PRINCIPAL_LOCAL	"c:""/windows/system32/svchost.exe"	PRINCIPAL_LOCAL	executed	30201234
/windows/system32/svchost.exe_828	PRINCIPAL_LOCAL	NOPROCESSNAME_468	SUBJECT_PROCESS	fork	30201234
/windows/system32/svchost.exe_828	PRINCIPAL_LOCAL	"c:""/windows/system32/winlogon.exe_468"	PRINCIPAL_LOCAL	fork	30201255
/windows/system32/svchost.exe_828	PRINCIPAL_LOCAL	"c:""/windows/system32/winlogon.exe"	PRINCIPAL_LOCAL	read	30201255
/windows/system32/svchost.exe_828	PRINCIPAL_LOCAL	"c:""/windows/system32/wuaueng.dll"	PRINCIPAL_LOCAL	read	30201257
/users/aalsahee/appdata/roaming/microsoft/mmc/eventvwr	PRINCIPAL_LOCAL	"c:""/windows/system32/mmc.exe_2876"	PRINCIPAL_LOCAL	write	30201234
/program files/vmware/vmware tools/vmtoolsd.exe_2256	PRINCIPAL_LOCAL	"c:""/program files/vmware/vmware tools/vmtoolsd.exe"	PRINCIPAL_LOCAL	executed	30201234
/program files/vmware/vmware tools/vmtoolsd.exe_2256	PRINCIPAL_LOCAL	"c:""/programdata/vmware/vmware tools"	PRINCIPAL_LOCAL	read	30201234
/users/aalsahee/appdata/local/microsoft/event viewer/recentviews	PRINCIPAL_LOCAL	"c:""/windows/system32/mmc.exe_2876"	PRINCIPAL_LOCAL	write	30201234
/program files/vmware/vmware tools/vmtoolsd.exe_1748	PRINCIPAL_LOCAL	"c:""/program files/vmware/vmware tools/vmtoolsd.exe"	PRINCIPAL_LOCAL	executed	30201235
